INV_NR;KURZTITEL;TITEL;FOTOGRAF;DATIERUNGVON;DATIERUNGBIS;DATIERUNGKONKRET;ORTZEITBESCHREIBUNG;SCHLAGWORT;BESCHREIBUNG_MOTIV;STRASSENNAME_MOTIV;STADTBEZIRK;GEOKOORDINATEN_MOTIV;URL;DATENGEBER;ISIL_DATENGEBER;LIZENZ
F-015125;Grenzausbau Bernauer Straße;Abriss der Betonschichtmauer an der Bernauer Straße für den Aufbau der Grenzmauer 75;Kasperski, Edmund;1980;1980;1980.03.18;Berlin, 18. März 1980;"Aufbau Grenzmauer 75;Bautrupp;Berliner Mauer;Betonschichtmauer;Fassadenmauer (Bernauer Straße 1965-1980);Grenzsoldat;Kran";Die Betonschichtmauer wird von einem Bautrupp mit einem Kranfahrzeug abgerissen. Grenzsoldaten bewachen den Bautrupp und die Arbeiten. Die Betonelemente der Grenzmauer 75 stehen bereit zum Aufbau und dienen noch als provisorische Grenzsperre. Die vordere Grenzmauer nach Westen besteht in diesem Abschnitt aus Hausfassadenresten und massiven Betonwegeplatten mit aufgesetzten Abweisern. Im Hintergrund ist der Klub der Volkssolidarität auf der Eberswalder Straße zu sehen. Der Fotograf steht auf einer Aussichtsplattform Bernauer Straße/Wolliner Straße.;Bernauer Straße/Wolliner Straße;"Wedding (West-Berlin);Mitte (Ost-Berlin)";POINT (13.4016 52.53978);http://www.mauer-fotos.de/image/?imageID=015125;Stiftung Berliner Mauer;DE-MUS-736838;https://creativecommons.org/licenses/by-sa/4.0/
F-015126;Grenzausbau Bernauer Straße;Abriss der Betonschichtmauer an der Bernauer Straße für den Aufbau der Grenzmauer 75;Kasperski, Edmund;1980;1980;1980.03.18;Berlin. 18. März 1980;"Aufbau Grenzmauer 75;Bautrupp;Berliner Mauer;Betonschichtmauer;Fassadenmauer (Bernauer Straße 1965-1980);Grenzmauer;Grenzsoldat;Kran";Die alte Betonschichtmauer wird von einem Bautrupp mit einem Kranfahrzeug abgerissen. Grenzsoldaten beobachten das Geschehen. Dahinter stehen die Betonelemente der Grenzmauer 75, hier noch als provisorische Grenzsperre genutzt, für den Einbau bereit. Davor sind Teile der vorderen Grenzmauer zu sehen, die in diesem Abschnitt aus Hausfassadenresten und Betonplatten mit Abweisern besteht. Im Hintergrund ist der Klub der Volkssolidarität auf der Eberswalder Straße zu sehen. Der Fotograf steht auf einer Aussichtsplattform Bernauer Straße/Wolliner Straße.;Bernauer Straße/Wolliner Straße;"Wedding (West-Berlin);Mitte (Ost-Berlin)";POINT (13.4016 52.53978);http://www.mauer-fotos.de/image/?imageID=015126;Stiftung Berliner Mauer;DE-MUS-736838;https://creativecommons.org/licenses/by-sa/4.0/
F-015129;Graffiti Gedenkkreuz Bernauer Straße;Graffiti und Gedenkkreuz an der Betonschichtmauer und die neu aufgebaute Grenzmauer 75 an der Bernauer Straße;Kasperski, Edmund;1980;1980;1980.03.18;Berlin, 18. März 1980;"Abweiser (einseitig);Berliner Mauer;Betonschichtmauer;Gedenkzeichen (Mauertote);Graffito;Grenzmauer 75;Schriftzug (Anti-DDR);Sektorenschild;Trauerkranz";"KZ als Graffiti an der Betonschichtmauer neben einem Gedenkkreuz für die ""Toten der Mauer"" und einem Kranz an der Bernauer Straße. Dahinter ist die neu aufgebaute Grenzmauer 75 zu sehen. Vor der Betonplattenmauer steht ein französisches Sektorenschild.";Bernauer Straße/Schwedter Straße;"Wedding (West-Berlin);Mitte (Ost-Berlin)";POINT (13.40432 52.54055);http://www.mauer-fotos.de/image/?imageID=015129;Stiftung Berliner Mauer;DE-MUS-736838;https://creativecommons.org/licenses/by-sa/4.0/
F-015135;Bernauer Straße;Grenzanlage mit mehreren Betonschichtmauern an der Bernauer Straße;Kasperski, Edmund;1980;1980;1980.03.18;Berlin, 18. März 1980;"Berliner Mauer;Betonschichtmauer;Grenzmauer;Sektorenschild";Vordere Grenzmauer an der Bernauer Straße mit Grenzstreifen und der dahinter liegenden Wolliner Straße in Ost-Berlin. Auf West-Berliner Gebiet steht ein französisches Sektorenschild.;Bernauer Straße/Wolliner Straße;"Mitte (Ost-Berlin);Wedding (West-Berlin)";POINT (13.4016 52.53978);http://www.mauer-fotos.de/image/?imageID=015135;Stiftung Berliner Mauer;DE-MUS-736838;https://creativecommons.org/licenses/by-sa/4.0/
F-015153;Aussichtsplattform an der Bernauer Straße;Personen auf Aussichtsplattform an der Bernauer Straße/Brunnenstraße;Kasperski, Edmund;1980;1980;1980.01.04;Berlin, 4. Januar 1980;"Abweiser (beidseitig);Aussichtsplattform;Berliner Mauer;Betonschichtmauer;Grenzmauer;Mauerbesucher;Sektorenschild";Auf der Brunnenstraße steht eine doppelte Betonschichtmauer mit beidseitigen Abweisern und einer Aussichtsplattform auf West-Berliner Seite. Im Hintergrund kann man der Kirchturm der Versöhnungskirche sehen.;Bernauer Straße/Brunnenstraße;"Wedding (West-Berlin);Mitte (Ost-Berlin)";POINT (13.39601 52.53825);http://www.mauer-fotos.de/image/?imageID=015153;Stiftung Berliner Mauer;DE-MUS-736838;https://creativecommons.org/licenses/by-sa/4.0/
F-015157;Grenzübergangsstelle Bornholmer Straße;Personen durchqueren die Grenzübergangstelle Bornholmer Straße auf der Bösebrücke ;Kasperski, Edmund;1979;1979;1979.05.03;Berlin, 3. Mai 1979;"Berliner Mauer;Fahrzeugsperre;Grenzverkehr;Grenzübergangsstelle (GÜSt);Passant;Postenstand;Schlagbaum";Personen durchqueren die Grenzübergangstelle Bornholmer Straße auf der Bösebrücke . Die Straße wird durch zwei Schranken und dazwischenliegenden Höckersperren in zwei Hälften geteilt. Zwei Grenzsoldaten in einem Wachtturm beobachten die Grenzübergangsstelle.;Bösebrücke;"Prenzlauer Berg (Ost-Berlin);Wedding (West-Berlin)";POINT (13.39815 52.55466);http://www.mauer-fotos.de/image/?imageID=015157;Stiftung Berliner Mauer;DE-MUS-736838;https://creativecommons.org/licenses/by-sa/4.0/
F-015164;Grenzmauer 75 Zimmerstraße/Charlottenstraße;Graffiti an der Grenzmauer 75 an der Ecke Zimmerstraße/Charlottenstraße;Kasperski, Edmund;1979;1979;1979.08.31;Berlin, 31. August 1979;"Berliner Mauer;Brache;Grenzmauer 75;Schriftzug (Anti-DDR)";DDR=KZ als Graffiti an der Grenzmauer 75 an der Zimmerstraße/Charlottenstraße.;Zimmerstraße/Charlottenstraße;"Kreuzberg (West-Berlin);Mitte (Ost-Berlin)";POINT (13.39233 52.50781);http://www.mauer-fotos.de/image/?imageID=015164;Stiftung Berliner Mauer;DE-MUS-736838;https://creativecommons.org/licenses/by-sa/4.0/
F-015166;Gedenkort Peter Fechter;Gedenkort Peter Fechter an der Zimmerstraße/Charlottenstraße;"Kasperski, Edmund;Fechter, Peter";1979;1979;1979.08.31;Berlin, 31. August 1979;"Berliner Mauer;Gedenkzeichen (Mauertote);Graffito;Grenzmauer 75;Mauertoter;Schriftzug (Anti-DDR)";"Gedenkort für Peter Fechter mit Kreuz und Stacheldraht an der Zimmerstraße/Charlottenstraße. An dieser Stelle versuchte Peter Fechter über die Mauer zu klettern und wurde erschossen. ""Freiheit für Weinhold"" wurde als Graffiti an die Grenzmauer 75 gesprüht. Im Hintergrund ist das Axel-Springer-Verlagsgebäude zu sehen.";Zimmerstraße/Charlottenstraße;"Mitte (Ost-Berlin);Kreuzberg (West-Berlin)";POINT (13.39233 52.50781);http://www.mauer-fotos.de/image/?imageID=015166;Stiftung Berliner Mauer;DE-MUS-736838;https://creativecommons.org/licenses/by-sa/4.0/
F-015172;Wendepunkt Berliner Straße/Burgfrauenstraße;Wendepunkt vor dem Ende der Berliner Straße an der Grenzmauer am Außenring;Kasperski, Edmund;1980;1980;1980.01.04;Berlin, 4. Januar 1980;"Außenring (Berliner Mauer);Berliner Mauer;Entenschnabel;Verkehrszeichen;Wendepunkt;West-Berliner Zoll";"Wendepunkt Berliner Straße/Burgfrauenstraße vor dem Ende der Berliner Straße an der Grenzmauer. Vor der Betonplattenmauer steht ein VW-Bus des Zolls. Hinter der Mauer und dem Grenzstreifen liegt der ""Entenschnabel"", ein schmaler Streifen der noch zum DDR-Gebiet gehört, aber von West-Berlin umgeben ist.";Burgfrauenstraße/Berliner Straße;Reinickendorf (West-Berlin);POINT (13.31132 52.62757);http://www.mauer-fotos.de/image/?imageID=015172;Stiftung Berliner Mauer;DE-MUS-736838;https://creativecommons.org/licenses/by-sa/4.0/
F-015178;Betonplattenmauer Steinstücken;Betonplattenmauer an der Bernhard-Beyer-Straße bei der Exklave Steinstücken;Kasperski, Edmund;1980;1980;1980.01.22;Berlin, 22. Januar 1980;"Berliner Mauer;Betonplattenmauer;Exklave Steinstücken;Grenzmauer 75;Mauerbesucher;Sektorenschild";Eine Person beobachtet durch einem Spalt in der Betonplattenmauer die Grenzanlage an der Bernhard-Beyer-Straße, während eine weitere Person sich von der Mauer wegbewegt. Davor steht ein Warnschild, dass an der Stelle der amerikanische Sektor verlassen wird. Die Straße verbindet West-Berlin mit der Exklave Steinstücken und ist beidseitig von der Mauer umgeben.;Bernhard-Beyer-Straße/Stahnsdorfer Straße;Zehlendorf (West-Berlin);POINT (13.13178 52.39174);http://www.mauer-fotos.de/image/?imageID=015178;Stiftung Berliner Mauer;DE-MUS-736838;https://creativecommons.org/licenses/by-sa/4.0/
F-015180;Kohlezug in Steinstücken;Güterzug mit Kohle fährt in die Exklave Steinstücken;Kasperski, Edmund;1980;1980;1980.01.22;Berlin, 1980;"Berliner Mauer;Exklave Steinstücken;Gleisanlage;Güterzug";Güterzug mit Kohle fährt gezogen von einer Diesellokomotive Richtung Exklave Steinstücken. Die Brücke, auf der der Fotograf steht, gehört zu West-Berlin, der Luftraum unter der Brücke mit Erdboden und Gleisen zur DDR. Steinstücken ist nur durch einen zwanzig Meter breiten und rund einen Kilometer langen Gebietsstreifen mit West-Berlin verbunden und sonst von DDR-Gebiet umschlossen.;Steinstraße/Bahntrasse;Zehlendorf (West-Berlin);POINT (13.1281685829163 52.3887426025356);http://www.mauer-fotos.de/image/?imageID=015180;Stiftung Berliner Mauer;DE-MUS-736838;https://creativecommons.org/licenses/by-sa/4.0/
F-015184;Hundelaufanlage Finkenkruger Weg;Hundelaufanlage zwischen Signalzaun und Hinterlandmauer am Finkenkruger Weg;Kasperski, Edmund;1979;1979;1979.12.05;Berlin, 5. Dezember 1979;"Berliner Mauer;Dornenmatte;Grenzstreifen;Hinterlandmauer;Hund;Hundelaufanlage;Rohrauflage;Sperrgraben";Grenzstreifen mit Hundelaufanlage zwischen Signalzaun und Hinterlandmauer und einem Hund, der mit einem Stahlring an einem gespannten Draht befestigt ist. Davor liegt eine Reihe Dornenmatten im Sperrgraben. Der abgebildete Grenzstreifen verläuft parallel zum Finkenkruger Weg.;Finkenkruger Weg/Torweg;Spandau (West-Berlin);POINT (13.14286 52.53942);http://www.mauer-fotos.de/image/?imageID=015184;Stiftung Berliner Mauer;DE-MUS-736838;https://creativecommons.org/licenses/by-sa/4.0/
F-015204;Grenzübergangsstelle Heinrich-Heine-Straße ;Grenzübergangsstelle Heinrich-Heine-Straße;Kasperski, Edmund;1978;1978;1978.08.10;Berlin, 10. August 1978;"Berliner Mauer;Grenzübergangsstelle (GÜSt);Straßenschild;Sektorenschild";Einfahrt von westlicher Seite in die Grenzübergangsstelle Heinrich-Heine-Straße von der Ecke Prinzenstraße/Sebastianstraße mit amerikanischem Sektorenschild. Der Grenzübergang verbindet hier die Bezirke Kreuzberg und Mitte. Im Hintergrund ist der Fernsehturm erkennbar.;Sebastianstraße/Prinzenstraße;"Mitte (Ost-Berlin);Kreuzberg (West-Berlin)";POINT (13.41174 52.50487);http://www.mauer-fotos.de/image/?imageID=015204;Stiftung Berliner Mauer;DE-MUS-736838;https://creativecommons.org/licenses/by-sa/4.0/
F-015211;Außenring Falkenhöh;Grünfläche an der Betonplattenmauer nahe der Griesinger Straße;Kasperski, Edmund;1978;1978;1978.05.05;Berlin, 5. Mai 1978;"Außenring (Berliner Mauer);Berliner Mauer;Brache;Grenzstreifen";Wiesenbrache an der Betonplattenmauer am Außenring nahe der Griesinger Straße hinter der ehemaligen Landesnervenklinik. Ein Teil des DDR-Gebiets der Siedlung Falkenhöh ist ebenfalls zu sehen. Im Hintergrund ein Wachtturm und die Wohnhochhäuser an der Falkenseer Chaussee. ;Griesingerstraße;Spandau (West-Berlin);POINT (13.1545 52.5636);http://www.mauer-fotos.de/image/?imageID=015211;Stiftung Berliner Mauer;DE-MUS-736838;https://creativecommons.org/licenses/by-sa/4.0/
F-015214;Grenzstreifen Zimmerstraße;Grenzstreifen an der Zimmerstraße bei Nacht;Kasperski, Edmund;1979;1979;1979.01.04;Berlin, 4. Januar 1979;"Berliner Mauer;Fahrzeugsperre;Grenzleuchte;Grenzstreifen;Nachtfotografie";Grenzstreifen an der Zimmerstraße bei Nacht. Der Grenzstreifen mit dem Signalzaun ist hell erleuchtet. In dem Grenzstreifen sind Fahrzeugsperren aneinandergereiht. Im Hintergrund ist die Beleuchtung der GÜSt Friedrichstraße zu sehen.;Zimmerstraße/Charlottenstraße;"Mitte (Ost-Berlin);Kreuzberg (West-Berlin)";POINT (13.39233 52.50781);http://www.mauer-fotos.de/image/?imageID=015214;Stiftung Berliner Mauer;DE-MUS-736838;https://creativecommons.org/licenses/by-sa/4.0/
F-015217;Warnschild Brandenburger Tor;Warnschild und Aussichtsplattform mit Personen am Brandenburger Tor;Kasperski, Edmund;1978;1978;1978.10.25;Berlin, 25. Oktober 1978;"Aussichtsplattform;Berliner Mauer;Mauerbesucher;Warnschild";Warnschild am Brandenburger Tor und Aussichtsplattform am Tiergarten.;Straße des 17. Juni/Ebertstraße;Tiergarten (West-Berlin);POINT (13.37677 52.51631);http://www.mauer-fotos.de/image/?imageID=015217;Stiftung Berliner Mauer;DE-MUS-736838;https://creativecommons.org/licenses/by-sa/4.0/
F-015222;Grenzmauer 75 Ebertstraße;Grenzmauer 75 entlang der Ebertstraße;Kasperski, Edmund;1978;1978;1978.10.25;Berlin, 25. Oktober 1978;"Berliner Mauer;Brache;Grenzmauer 75";Grenzmauer 75 an der Ebertstraße südlich des Brandenburger Tors.;Ebertstraße/Behrenstraße;"Tiergarten (West-Berlin);Mitte (Ost-Berlin)";POINT (13.37762 52.51469);http://www.mauer-fotos.de/image/?imageID=015222;Stiftung Berliner Mauer;DE-MUS-736838;https://creativecommons.org/licenses/by-sa/4.0/
F-015231;Grenzmauer 75 Bethaniendamm;Grenzmauer 75 am Bethaniendamm mit Thomas-Kirche ;Kasperski, Edmund;1980;1980;1980.01.02;Berlin, 2. Januar 1980;"Berliner Mauer;Bürgersteig;Grenzmauer 75;Kirche";Grenzmauer 75 am Bethaniendamm mit Blick auf die Thomas-Kirche. Die Grenzmauer 75 ist mit Graffiti besprüht.;Bethaniendamm/Köpenicker Straße;"Kreuzberg (West-Berlin);Mitte (Ost-Berlin)";POINT (13.42829 52.50735);http://www.mauer-fotos.de/image/?imageID=015231;Stiftung Berliner Mauer;DE-MUS-736838;https://creativecommons.org/licenses/by-sa/4.0/
F-015235;Checkpoint Bravo ;PKW warten auf die Passkontrolle am Checkpoint Bravo ;Kasperski, Edmund;1978;1978;1978.07.15;Berlin, 15. Juli 1978;"Anhalter;Grenzverkehr;Grenzübergangsstelle (GÜSt);Motorrad;Personenkraftwagen;Reisender;Straßenverkehr;Transitverkehr";PKW aus West-Berlin warten am Checkpoint Bravo auf die Kontrolle an der Grenzübergangsstelle Drewitz/Dreilinden. Anhalter warten mit Schildern auf eine Mitfahrgelegenheit für die Transitstrecke zwischen West-Berlin und der Bundesrepublik.;Autobahn A115/Kreuz Zehlendorf;Zehlendorf (West-Berlin);POINT (13.1964468955994 52.4182306649397);http://www.mauer-fotos.de/image/?imageID=015235;Stiftung Berliner Mauer;DE-MUS-736838;https://creativecommons.org/licenses/by-sa/4.0/
F-015237;Checkpoint Bravo ;PKW-Warteschlange am Checkpoint Bravo;Kasperski, Edmund;1978;1978;1978.07.15;Berlin, 15. Juli 1978;"Anhalter;Grenzverkehr;Grenzübergangsstelle (GÜSt);Motorrad;Personenkraftwagen;Reisender;Straßenverkehr;Transitverkehr";PKW warten am Checkpoint Bravo auf West-Berliner Seite auf die Kontrolle an der Grenzübergangsstelle Drewitz/Dreilinden. Reisende wollen per Anhalter mitgenommen werden auf die Transitstrecke zwischen West-Berlin und der Bundesrepublik. ;Autobahn A115/Kreuz Zehlendorf;Zehlendorf (West-Berlin);POINT (13.1964468955994 52.4182306649397);http://www.mauer-fotos.de/image/?imageID=015237;Stiftung Berliner Mauer;DE-MUS-736838;https://creativecommons.org/licenses/by-sa/4.0/
F-015241;Grenzübergangsstelle Oberbaumbrücke ;Grenzübergangsstelle Oberbaumbrücke mit Kommandoturm und Grenzsoldaten;Kasperski, Edmund;1979;1979;1979.10.08;Berlin, 8. Oktober 1979;"Berliner Mauer;Grenzleuchte;Grenzsoldat;Grenzübergangsstelle (GÜSt);Kommandoturm (GÜSt);Rohrauflage";Die Grenzübergangsstelle Oberbaumbrücke, die nur für Fußgängerverkehr freigegeben ist. Im Kommandoturm beobachten zwei Grenzsoldaten das Geschehen. Ein weiterer durchläuft die Grenzübergangsstelle. Im Hintergrund am Nordufer der Spree ist ein Dienstgebäude der Grenztruppen sichtbar.;Oberbaumbrücke;"Friedrichshain (Ost-Berlin);Kreuzberg (West-Berlin)";POINT (13.4456992149353 52.5017961753873);http://www.mauer-fotos.de/image/?imageID=015241;Stiftung Berliner Mauer;DE-MUS-736838;https://creativecommons.org/licenses/by-sa/4.0/
F-015247;Grenzübergangsstelle Oberbaumbrücke ;Eingang in die Grenzübergangsstelle Oberbaumbrücke unterhalb der U-Bahn-Trasse;Kasperski, Edmund;1979;1979;1979.10.08;Berlin, 8. Oktober 1979;"Aussichtsplattform;Berliner Mauer;Grenzverkehr;Grenzübergangsstelle (GÜSt);Passant;Sektorenschild;Untergrundbahnnetz";Zwei Personen durchlaufen den Eingang in die Grenzübergangsstelle Oberbaumbrücke zwischen der Grenzmauer 75 unterhalb der U-Bahn-Gleise. Neben dem Eingang stehen ein Sektorenschild und eine Aussichtsplattform. Die Brücke ist nur für Fußgänger passierbar. ;Oberbaumbrücke;"Friedrichshain (Ost-Berlin);Kreuzberg (West-Berlin)";POINT (13.4456992149353 52.5017961753873);http://www.mauer-fotos.de/image/?imageID=015247;Stiftung Berliner Mauer;DE-MUS-736838;https://creativecommons.org/licenses/by-sa/4.0/
F-015292;Aufbau Grenzmauer 75 Bernauer Straße;Bautrupp beim Aufbau der Grenzmauer 75 an der Bernauer Straße;Kasperski, Edmund;1980;1980;1980.05.30;Berlin, 30. Mai 1980;"Aufbau Grenzmauer 75;Bautrupp;Berliner Mauer;Fahrzeugsperre;Fernglas;Grenzsoldat;Kran;Mauerbesucher;Mobiler Sicherungszaun;Passant";Zwei Personen auf West-Berliner Seite stehen vor einem Zaun, der als provisorische Grenzsperre dient, und beobachten die Bauarbeiten für den Aufbau der Grenzmauer 75. Ein Bautrupp stellt mit Hilfe eines Krans die Betonelemente der Grenzmauer 75 auf. Grenzsoldaten bewachen die Bauarbeiten. Hinter den Bauarbeiten sind aufgereihte Fahrzugsperren sichtbar. Am linken Rand befindet sich noch ein Stück der bereits zu großen Teilen abgetragenen Friedhofsmauer des Sophienfriedhofs, die bisher als vordere Grenzmauer diente. ;Bernauer Straße/Ackerstraße;"Mitte (Ost-Berlin);Wedding (West-Berlin)";POINT (13.39012 52.53547);http://www.mauer-fotos.de/image/?imageID=015292;Stiftung Berliner Mauer;DE-MUS-736838;https://creativecommons.org/licenses/by-sa/4.0/
F-015304;Wolliner Straße;Grenzstreifen an der Wolliner Straße;Kasperski, Edmund;1980;1980;1980.03.19;Berlin, 19. März 1980;"Berliner Mauer;Hinterlandmauer;Kinderwagen;Mutter";Blick von einer Aussichtsplattform in der Bernauer Straße über den Grenzstreifen auf die Wolliner Straße. Auf der Straße ist eine Frau mit Kinderwagen zu sehen. Die Hinterlandmauer besteht hier aus senkrecht eingelassenen schmalen Betonelementen.;Bernauer Straße/Wolliner Straße;"Wedding (West-Berlin);Mitte (Ost-Berlin)";POINT (13.4016 52.53978);http://www.mauer-fotos.de/image/?imageID=015304;Stiftung Berliner Mauer;DE-MUS-736838;https://creativecommons.org/licenses/by-sa/4.0/
F-015324;Grenzübergangsstelle Oberbaumbrücke;Grenzübergangsstelle Oberbaumbrücke und die Spree;Kasperski, Edmund;1980;1980;1980.01.02;Berlin, 2. Januar 1980;"Gedenkzeichen (Mauertote);Grenzübergangsstelle (GÜSt);Kommandoturm (GÜSt);Patrouillenboot;Wassergrenze";Gröbenufer mit dem Gedenkzeichen für Udo Düllick, im Hintergrund die Grenzübergangsstelle Oberbaumbrücke mit Wachturm. Die Brücke war im Grenzverkehr nur für Fußgänger passierbar.  Auf der Spree unter der Oberbaumbrücke fährt ein Grenzboot. Die Spree gehörte an dieser Stelle vollständig zu Ost-Berlin.;Oberbaumbrücke/May-Ayim-Ufer;"Friedrichshain (Ost-Berlin);Kreuzberg (West-Berlin)";POINT (13.44471 52.50127);http://www.mauer-fotos.de/image/?imageID=015324;Stiftung Berliner Mauer;DE-MUS-736838;https://creativecommons.org/licenses/by-sa/4.0/
F-015329;PKW-Wartung vor Berliner Mauer;PKW mit geöffneter Motorhaube vor der Berliner Mauer;Kasperski, Edmund;1980;1980;1980.01.02;Berlin, 02. Januar 1980;"Abweiser (beidseitig);Berliner Mauer;Hohlblockstein;Personenkraftwagen";PKW-Fahrer inspiziert den Motorraum seines Opel auf einer gesperrten Straße vor der Mauer mit Stacheldraht und Abweisern. Auf der Mauer sind Schriftzüge erkennbar.;;Kreuzberg (West-Berlin);;http://www.mauer-fotos.de/image/?imageID=015329;Stiftung Berliner Mauer;DE-MUS-736838;https://creativecommons.org/licenses/by-sa/4.0/
F-015335;Notfallsäule Spreeufer;Zauntor mit Notfalläule am Gröbenufer;Kasperski, Edmund;1980;1980;1980.01.02;Berlin, 2. Januar 1980;"Berliner Mauer;Notfallsäule (Wassergrenze);Ufer;Wassergrenze;Zufahrt";Zauntor mit Wassernotrufsäule, Spree und Grenzübergangsstelle Oberbaumbrücke. Die Spree gehörte an dieser Stelle vollständig zu Ost-Berlin. Am 29. Oktober 1975 schlossen der Berliner Senat und die Regierung der DDR ein Abkommen, das West-Berliner Helfern im Notfall (z.B. Ertrinken) das Eingreifen an Grenzgewässern erlaubte. Außerdem ist das Gröbenufer nun mit einem Zaun und mehrsprachigen Warnschildern gesichert. ;Brommystraße/Köpenicker Straße;"Kreuzberg (West-Berlin);Friedrichshain (Ost-Berlin)";POINT (13.435 52.50447);http://www.mauer-fotos.de/image/?imageID=015335;Stiftung Berliner Mauer;DE-MUS-736838;https://creativecommons.org/licenses/by-sa/4.0/
F-015344;Grenzstreifen Oranienburger Chaussee;Betonplattenmauer und Grenzstreifen mit Wachturm;Kasperski, Edmund;1980;1980;1980.01.04;Berlin, 4. Januar 1980;"Außenring (Berliner Mauer);Berliner Mauer;Betonplattenmauer;Grenzmauer;Rohrauflage;Wachtturm Typ BT-11;Winter";Betonplattenmauer mit Rohrauflage nahe der Oranienburger Chaussee und der verschneite Grenzstreifen. Im Grenzstreifen sind ein Wachturm und Stacheldrahtzaun zu sehen. Die Oranienburger Chaussee endet in diesem Gebiet an der Mauer.;Burgfrauenstraße/Berliner Straße;Reinickendorf (West-Berlin);POINT (13.31132 52.62757);http://www.mauer-fotos.de/image/?imageID=015344;Stiftung Berliner Mauer;DE-MUS-736838;https://creativecommons.org/licenses/by-sa/4.0/
F-015369;Bauarbeiten Finkenkruger Weg;Aufbau des Hinterlandzauns durch einem Bautrupp mit Hilfe eines Krans am Finkenkruger Weg ;Kasperski, Edmund;1979;1979;1979.12.05;Berlin, 5. Dezember 1979;"Bautrupp;Berliner Mauer;Grenzleuchte;Grenzsoldat;Hinterlandzaun;Kran;Nutzfahrzeug;Postenweg";Bauarbeiten an der Hinterlandmauer am Finkenkruger Weg. Die Betonpfeiler der Hinterlandmauer werden durch einen Bautrupp mit Hilfe eines Krans aufgestellt. Daneben stehen weitere Betonteile in einem Transporter bereit. Vor der Hinterlandmauer im Grenzstreifen verläuft ein Signalzaun, im Hintergrund auf DDR-Gebiet sind Wohnhäuser sichtbar.;Finkenkruger Weg/Torweg;Spandau (West-Berlin);POINT (13.14286 52.53942);http://www.mauer-fotos.de/image/?imageID=015369;Stiftung Berliner Mauer;DE-MUS-736838;https://creativecommons.org/licenses/by-sa/4.0/
F-015378;Grenzübergangsstelle Bornholmer Straße;Grenzübergangsstelle Bornholmer Straße auf der Bösebrücke;Kasperski, Edmund;1977;1977;1977.11.29;Berlin, 29. November 1977;"Fahrzeugsperre;Grenzverkehr;Grenzübergangsstelle (GÜSt);Kommandoturm (GÜSt);Kontrollhaus;Schlagbaum";Zwei Schilder auf beiden Seiten der Brücke sagen, dass der Französische Sektors hier endet. Mehrere Personen durchlaufen die Grenzübergansstelle. Die Straße wird durch zwei Schranken und dazwischenliegenden Höckersperren in zwei Hälften geteilt. Im Hintergrund in der Grenzanlage ist ein bemannter Wachturm zu sehen. ;Bösebrücke;"Prenzlauer Berg (Ost-Berlin);Wedding (West-Berlin)";POINT (13.39815 52.55466);http://www.mauer-fotos.de/image/?imageID=015378;Stiftung Berliner Mauer;DE-MUS-736838;https://creativecommons.org/licenses/by-sa/4.0/
F-015392;Grenzmauer Liesenstraße;Versperrter Zugang zu den Friedhöfen an der Liesenstraße;Kasperski, Edmund;1978;1978;1978.04.20;Berlin, 20. April 1978;"Berliner Mauer;Hohlblockstein;Friedhof;Vermauerte Fenster/Türen";Der vermauerte Zugang zum Domfriedhof I bzw. zum Friedhof II der Französisch-Reformierten Gemeinde auf der Südseite der Liesenstraße. Die vordere Grenzmauer, hier bestehend aus der Friedhofsmauer und darauf aufgeschichteten Hohlblocksteinen, verläuft entlang der Südseite der Liesenstraße. Dahinter befinden sich drei nebeneinanderliegende Friedhöfe: der Domfriedhof I der Oberpfarr- und Domkirche, der Friedhof II der Französisch-Reformierten Gemeinde und der alte Domfriedhof der St.-Hedwigs-Gemeinde. Der Grenzstreifen verläuft auf dem Gelände der Friedhöfe, was die Abtragung von Gräbern zur Folge hatte. Die früheren Eingänge zu den Friedhöfen auf der Liesenstraße wurden geschlossen. Der Zugang war in Ost-Berlin nur noch über einen kleinen, gemeinsamen Eingang in der Wöhlertstraße möglich und auch nur direkten Angehörigen der hier beerdigten Personen unter strengen Auflagen gestattet.;Liesenstraße 7;"Mitte (Ost-Berlin);Wedding (West-Berlin)";POINT (13.3769702911377 52.5387267156598);http://www.mauer-fotos.de/image/?imageID=015392;Stiftung Berliner Mauer;DE-MUS-736838;https://creativecommons.org/licenses/by-sa/4.0/
F-015404;Aussichtsplattform Liesenstraße;Aussichtsplattform vor der Grenzmauer an der Liesenstraße;Kasperski, Edmund;1978;1978;1978.04.20;Berlin, 1978;"Aussichtsplattform;Berliner Mauer;Grenzmauer;Hohlblockstein;Mauerbesucher";Ein Man steht auf einer Aussichtsplattform an der Liesenstraße und schaut über die vordere Grenzmauer in den Grenzstreifen. Im Hintergrund ist ein Teil der Liesenbrücken zu sehen, die als Eisenbahnbrücken die Kreuzung Liesenstraße/Gartenstraße überqueren. Die vordere Grenzmauer besteht hier aus der Basis der alten Friedhofsmauer und darauf aufgeschichteten Hohlblocksteinen.;Liesenstraße/Neue Hochstraße;"Wedding (West-Berlin);Mitte (Ost-Berlin)";POINT (13.37576 52.53802);http://www.mauer-fotos.de/image/?imageID=015404;Stiftung Berliner Mauer;DE-MUS-736838;https://creativecommons.org/licenses/by-sa/4.0/
